Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts,Net Sales,Tax
Custom Amount,No description,,Uncategorized,193,0.92102,-2,-0.003,-0.01294,0.90508,0.03738
2D Printer Use,Regular Price,,Uncategorized,34,0.0017,0,0,0,0.0017,0
4- Up Playset Black ,Regular,74427845759,Uncategorized,2,0.05998,0,0,0,0.05998,0.0033
4- Up Playset White,Regular Price,74427846046,Uncategorized,1,0.02999,0,0,0,0.02999,0.00165
9 Page Sleeves,Regular,,Uncategorized,87,0.02175,0,0,0,0.02175,0.0012
Americana cherry cola,Regular Price,39771113121,Uncategorized,1,0.002,0,0,-0.00031,0.00169,0
Angels Mtg From The Vault Pre-order,Regular Price,,Uncategorized,21,0.73479,0,0,-0.04841,0.68638,0.03773
Battlelore: Hernfar Guardians ,Regular,9.78162E+12,Uncategorized,1,0.03995,0,0,-0.00995,0.03,0.00165
Battlelore: Warband of Scorn ,Regular,9.78163E+12,Uncategorized,1,0.03995,0,0,-0.00995,0.03,0.00165
Bones 77124,Regular,7.62487E+11,Uncategorized,1,0.00249,0,0,0,0.00249,0.00014
Catan Junior,Regular Price,,Uncategorized,1,0.03,0,0,-0.00436,0.02564,0.00141
Chaos Draft,Regular Price,,Uncategorized,1,0.015,0,0,0,0.015,0
Chess Set Purchase,Regular Price,,Uncategorized,11,0.055,-11,-0.055,-0.005,0,0
Chessex Small d6 Assorted,Regular Price,,Uncategorized,12,0.0078,0,0,0,0.0078,0.0003
Citadels,Regular,,Uncategorized,1,0.02495,0,0,0,0.02495,0
Commander Deck (dustins),Regular Price,,Uncategorized,2,0.1,-1,-0.05,0,0.05,0
Con Sale,Regular,,Uncategorized,25,0.47745,0,0,0,0.47745,0.02626
Con Soda,Regular,,Uncategorized,3,0.009,0,0,0,0.009,0.00048
Crazy Urban Myths,Regular Price,6.77666E+11,Uncategorized,1,0.00499,0,0,0,0.00499,0.00027
D&D 4th Edition Players Handbook,Regular Price,,Uncategorized,1,0.03495,0,0,0,0.03495,0.00192
DBZ Heroes Box,Regular Price,,Uncategorized,1,0.07999,0,0,0,0.07999,0.0044
DC Deck builder Crossover Pack 1,Regular Price,8.15442E+11,Uncategorized,1,0.01,0,0,0,0.01,0.00055
DC Deck-Building Game - Base Set,Regular,,Uncategorized,1,0.04,0,0,0,0.04,0.0022
DQ Starkiss,Regular Price,,Uncategorized,3,0.00567,0,0,-0.00076,0.00491,0.00027
Delivery Tip,Regular Price,,Uncategorized,3,0.012,-2,-0.01,0,0.002,0
Dq Sandwich,Regular Price,,Uncategorized,3,0.00567,0,0,0,0.00567,0.0001
Dragon Ball Z Evolution,Regular Price,6.13298E+11,Uncategorized,15,0.05985,0,0,-0.0099,0.04995,0.00275
Elis Cah Makeup,Regular,,Uncategorized,1,0.01,0,0,0,0.01,0
Elvish Dice Set 7,Price 1,5.90781E+12,Uncategorized,1,0.013,0,0,0,0.013,0.00072
Equipment Repair,Regular Price,,Uncategorized,1,0.045,0,0,0,0.045,0
Famous Amos,Regular Price,76677100145,Uncategorized,10,0.0135,0,0,-0.00084,0.01266,0.00067
