Category,June,July,August,September,October,November ,December,January
Uncategorized,0.47962,0.86241,2.95429,0.42982,0.51582,0.19855,0.24216,0.26146
Miscellaneous,0.1,0.17907,0.12472,0.0295,0.07948,0.06547,0.44188,0.19895
3D printing,0.0109,0.024,0.05699,0.16274,0.088,0.015,0,0
misc combined,0.59052,1.06548,3.136,0.62206,0.6833,0.27902,0.68404,0.46041
Beverages,0.0745,0.17,0.1685,0.1815,0.1515,0.106,0.06,0.071
Bottled Beverages,1.63081,1.22281,1.35791,1.6267,1.71473,1.35897,1.30717,1.80666
Canned Beverages,0.8165,0.849,1.0125,0.9335,0.63525,0.617,0.5245,0.47349
combied bev,2.52181,2.24181,2.53891,2.7417,2.50148,2.08197,1.89167,2.35115
Candy,0.0983,0.0953,0.12285,0.09945,0.17025,0.1521,0.1431,0.30309
Food,2.09965,2.03518,2.04499,2.4955,2.42791,2.46909,2.05291,2.63053
candy food and bev,4.71976,4.37229,4.70675,5.33665,5.09964,4.70316,4.08768,5.28477
Board Games,1.24887,1.18274,1.73031,1.77186,1.73124,1.53843,2.86319,0.98865
Card Game,0.4917,2.07568,0.94523,1.25169,0.80373,1.32767,1.44335,2.39353
board and card games,1.74057,3.25842,2.67554,3.02355,2.53497,2.8661,4.30654,3.38218
Card Gaming Accessories,0.34625,0.43992,0.30885,0.63485,0.9281,0.97578,1.90186,2.10957
Event Tickets,1.66,1.012,1.498,3.249,2.11,1.352,1.614,1.752
Glass Bottled Soda,3.0355,3.9065,3.561,2.956,3.057,2.192,2.236,2.218
mtg sealed ,3.05043,0.82708,0.36859,0.86304,0.71021,0,0,0
Novelties,12.61076,8.62273,6.45154,5.19061,2.90163,0.32812,0.29666,0.49705
Pokemon,0.29086,0.04797,2.37091,0.64807,1.02483,1.38039,1.34149,1.72925
Network,0.571,0.655,0.866,0.699,0.871,0.64,0.541,0.486
Dice and accessories,0.15388,0.13211,0.14983,0.29394,0.21604,0.1712,0.10622,0.26594
Netrunner,0.01399,0,0,0,0.01495,0,0.03995,0.01495
Yu-Gi-Oh,0.4281,0.25083,1.38754,1.11482,1.50157,1.19083,0.67751,2.21402
mtg,0.18261,7.4427,5.33041,10.97912,15.48249,9.32504,8.29767,19.83367
Warhammer 40K,0.26925,0.39873,0.2754,0.01495,0.246,0.32943,0.32794,0.247
Force of Will,0.39696,1.63039,1.32936,1.39279,2.85822,0.84196,3.24923,3.38403
Prize Support,0,0,0.015,0,0,0,0.12,0
Venue Fee,0,0.04,0,0,0,0,0,0
Birthdays,0,0,0.03,0.03,0.08,0,0,0
D&D,0,0,0,0.48874,0.4415,0.33267,0.09093,0.26275
Dragon Ball Z,0,0,0,0,0.23359,0.89711,0.25203,0.08584
Clothing,0,0,0,0,0.036,0,0.018,0
Star Wars,0,0,0,0,0,0.38024,0.59584,0.60514
Miniatures ,0,0,0,0,0,0.00249,0.02512,0.00727
Video Gaming,0,0,0,0,0,0,0.089,0.11
Figures And Models,0,0,0,0,0,0,0.01299,0.10892
WarMachine,0,0,0,0,0,0,0.09998,0
