Category,6/1/2015,6/2/2015,6/3/2015,6/4/2015,6/5/2015,6/6/2015,6/7/2015,6/8/2015,6/9/2015,6/10/2015,6/11/2015,6/12/2015,6/13/2015,6/14/2015,6/15/2015,6/16/2015,6/17/2015,6/18/2015,6/19/2015,6/20/2015,6/21/2015,6/22/2015,6/23/2015,6/24/2015,6/25/2015,6/26/2015,6/27/2015,6/28/2015,6/29/2015,6/30/2015,7/1/2015,7/2/2015,7/3/2015,7/4/2015,7/5/2015,7/6/2015,7/7/2015,7/8/2015,7/9/2015,7/10/2015,7/11/2015,7/12/2015,7/13/2015,7/14/2015,7/15/2015,7/16/2015,7/17/2015,7/18/2015,7/19/2015,7/20/2015,7/21/2015,7/22/2015,7/23/2015,7/24/2015,7/25/2015,7/26/2015,7/27/2015,7/28/2015,7/29/2015,7/30/2015,7/31/2015,8/1/2015,8/2/2015,8/3/2015,8/4/2015,8/5/2015,8/6/2015,8/7/2015,8/8/2015,8/9/2015,8/10/2015,8/11/2015,8/12/2015,8/13/2015,8/14/2015,8/15/2015,8/16/2015,8/17/2015,8/18/2015,8/19/2015,8/20/2015,8/21/2015,8/22/2015,8/23/2015,8/24/2015,8/25/2015,8/26/2015,8/27/2015,8/28/2015,8/29/2015,8/30/2015,8/31/2015,9/1/2015,9/2/2015,9/3/2015,9/4/2015,9/5/2015,9/6/2015,9/7/2015,9/8/2015,9/9/2015,9/10/2015,9/11/2015,9/12/2015,9/13/2015,9/14/2015,9/15/2015,9/16/2015,9/17/2015,9/18/2015,9/19/2015,9/20/2015,9/21/2015,9/22/2015,9/23/2015,9/24/2015,9/25/2015,9/26/2015,9/27/2015,9/28/2015,9/29/2015,9/30/2015,10/1/2015,10/2/2015,10/3/2015,10/4/2015,10/5/2015,10/6/2015,10/7/2015,10/8/2015,10/9/2015,10/10/2015,10/11/2015,10/12/2015,10/13/2015,10/14/2015,10/15/2015,10/16/2015,10/17/2015,10/18/2015,10/19/2015,10/20/2015,10/21/2015,10/22/2015,10/23/2015,10/24/2015,10/25/2015,10/26/2015,10/27/2015,10/28/2015,10/29/2015,10/30/2015,10/31/2015,11/1/2015,11/2/2015,11/3/2015,11/4/2015,11/5/2015,11/6/2015,11/7/2015,11/8/2015,11/9/2015,11/10/2015,11/11/2015,11/12/2015,11/13/2015,11/14/2015,11/15/2015,11/16/2015,11/17/2015,11/18/2015,11/19/2015,11/20/2015,11/21/2015,11/22/2015,11/23/2015,11/24/2015,11/25/2015,11/26/2015,11/27/2015,11/28/2015,11/29/2015,11/30/2015,12/1/2015,12/2/2015,12/3/2015,12/4/2015,12/5/2015,12/6/2015,12/7/2015,12/8/2015,12/9/2015,12/10/2015,12/11/2015,12/12/2015,12/13/2015,12/14/2015,12/15/2015,12/16/2015,12/17/2015,12/18/2015,12/19/2015,12/20/2015,12/21/2015,12/22/2015,12/23/2015,12/24/2015,12/25/2015,12/26/2015,12/27/2015,12/28/2015,12/29/2015,12/30/2015,12/31/2015,1/1/2016,1/2/2016,1/3/2016,1/4/2016,1/5/2016,1/6/2016,1/7/2016,1/8/2016,1/9/2016,1/10/2016,1/11/2016,1/12/2016,1/13/2016,1/14/2016,1/15/2016,1/16/2016,1/17/2016,1/18/2016,1/19/2016,1/20/2016,1/21/2016,1/22/2016,1/23/2016,1/24/2016,1/25/2016,1/26/2016,1/27/2016,1/28/2016,1/29/2016,1/30/2016,1/31/2016
Uncategorized,0,0.02,0,0,0.02,0.01,0,0,0.02,0.01,0,0,0.04,0,0,0.08,0.01,0,0,0,0,0,0.02,0,0.04,0.17,0,0,0,0.04,0,0.06,0.01,0,0,0,0,0.15,0,0.02,0,0,0,0.03,0,0,0.32,0.03,0.03,0.04,0,0,0,0.06,0.03,0,0,0.02,0.04,0,0.03,0.04,0,0.01,0.3,0.11,0.11,0.13,0.37,0.16,0.21,0.07,0.09,0.02,0.03,0.01,0.01,0.03,0.04,0.01,0.11,0.08,0.44,0.27,0.1,0,0.08,0.02,0,0.09,0,0,0,0,0,0.02,0,0.01,0,0.2,0.01,0,0.02,0.08,0,0,0,0,0.01,0.01,0,0,0,0.02,0,0,0,0.02,0,0,0.01,0,0,0.01,0.06,0,0.01,0,0.02,0,0.02,0.05,0.01,0,0,0,0,0,0.08,0,0,0.08,0,0.01,0.01,0.05,0,0,0.01,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0.06,0,0,0.03,0.08,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.03,0.02,0,0,0,0.02,0.02,0,0,0,0,0,0,0.05,0,0,0,0.03,0,0,0,0.01,0,0,0.1,0,0,0.04,0,0,0,0,0,0,0,0.04,0,0.05,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
Beverages,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0.02,0.01,0,0,0.01,0,0.01,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0,0,0.01,0.02,0,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.02,0.02,0,0.01,0.01,0.01,0.02,0.03,0.01,0,0,0.02,0.01,0,0.01,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0.01,0.01,0.03,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
Board Games,0.14,0,0.06,0,0,0.12,0,0.14,0,0,0,0.06,0.04,0.06,0,0,0.02,0.12,0,0.03,0,0,0.11,0.15,0,0.01,0.08,0.01,0.03,0.07,0,0,0.02,0.03,0.09,0,0.1,0,0.05,0.02,0,0.09,0.04,0.01,0.07,0,0.16,0.04,0.01,0,0.09,0.08,0.02,0,0,0.07,0.05,0.01,0,0,0.08,0,0,0.21,0,0.13,0,0,0.01,0.08,0.04,0.1,0.24,0,0,0.07,0.1,0,0.02,0.05,0,0.01,0.06,0.04,0,0.02,0,0.35,0.07,0.08,0.04,0,0,0.06,0.02,0,0.12,0.02,0.04,0.03,0,0.04,0.06,0.21,0.04,0.11,0.07,0,0,0.03,0.33,0.03,0.01,0.01,0.05,0.06,0.31,0.04,0,0,0,0.06,0.03,0.12,0.32,0.06,0,0.06,0.04,0.09,0,0.02,0.08,0.06,0.03,0.02,0.06,0.06,0.16,0.02,0,0,0,0.04,0.13,0.1,0.03,0.08,0.01,0,0,0.02,0.08,0,0.06,0.03,0,0,0,0.08,0,0.01,0.02,0.02,0.1,0.01,0.14,0,0,0,0.13,0,0,0.14,0.1,0.05,0.08,0.05,0,0.28,0.16,0,0.05,0.03,0.01,0.04,0.14,0.2,0.07,0.06,0,0,0,0.13,0.26,0.06,0.14,0,0.07,0.09,0.27,0.06,0.03,0.11,0.03,0.17,0.03,0,0.04,0.05,0.21,0.01,0.34,0.16,0.03,0.08,0.04,0.02,0.09,0.01,0.07,0,0.05,0,0.03,0,0,0.1,0,0.07,0.15,0,0.01,0,0,0,0.05,0.04,0.02,0,0,0.05,0,0.07,0
Bottled Beverages,0.06,0.09,0.08,0.06,0.11,0.1,0.1,0.07,0.09,0.02,0.03,0.03,0.07,0.01,0.01,0.02,0.04,0.05,0.07,0.04,0.02,0.03,0.07,0.04,0.03,0.07,0.1,0.03,0.02,0.03,0.07,0.05,0.06,0.06,0.04,0.04,0.08,0.03,0.02,0.03,0.07,0.03,0.02,0.03,0.04,0.02,0.1,0.04,0.02,0.01,0.03,0.04,0.04,0.06,0.03,0.03,0.02,0.06,0.03,0.01,0.03,0.05,0.02,0.03,0.05,0.02,0.03,0.04,0.03,0.03,0.02,0.04,0.04,0.03,0.06,0.09,0.02,0.02,0.04,0.01,0.04,0.04,0.06,0.05,0.03,0.02,0.05,0.06,0.12,0.11,0.09,0.02,0.06,0.01,0.03,0.07,0.1,0.05,0.05,0.08,0.09,0.02,0.08,0.08,0.05,0.03,0.03,0.02,0.03,0.06,0.15,0.07,0.04,0.02,0.06,0.02,0.06,0.13,0.04,0.01,0.04,0.04,0.05,0.11,0.13,0.07,0.02,0.03,0.06,0.03,0.07,0.1,0.05,0.03,0.02,0.04,0.03,0.06,0.06,0.03,0.03,0.04,0.04,0.04,0.07,0.08,0.09,0.03,0.04,0.04,0.03,0.07,0.08,0.03,0.03,0.06,0.06,0.02,0.05,0.11,0.06,0.02,0.04,0.03,0.03,0.07,0.07,0.05,0.03,0.02,0.04,0.06,0.1,0.07,0.04,0.03,0.05,0.05,0.01,0.07,0.04,0.03,0.01,0.04,0.03,0.03,0.06,0.11,0.05,0.03,0.03,0.01,0.02,0.08,0.05,0.04,0.02,0.03,0.04,0.04,0.03,0.06,0.03,0.02,0.06,0.06,0.02,0.02,0.04,0.05,0.06,0.06,0.04,0.05,0.09,0.1,0.09,0.04,0.04,0.06,0.05,0.07,0.08,0.07,0.03,0.03,0.05,0.05,0.05,0.12,0.07,0.04,0.03,0.05,0.04,0.05,0.07,0.05,0.05,0.06,0.05,0.03,0.06,0.09,0.06
Candy,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.02,0.01,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0.01,0.01,0,0,0.01,0,0.01,0.01,0,0.02,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0.01,0,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02
Canned Beverages,0.01,0.04,0.06,0.05,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.04,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.04,0.03,0.02,0.02,0.03,0.03,0.02,0.04,0.03,0.01,0.05,0.03,0.03,0.03,0.01,0.01,0.03,0.04,0.02,0.04,0.02,0.02,0.01,0.01,0.03,0.03,0.02,0.05,0.03,0.02,0.02,0.02,0.02,0.03,0.07,0.04,0.03,0.01,0.04,0.02,0.03,0.04,0.03,0.01,0.06,0.03,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.04,0.02,0.02,0.11,0.01,0.05,0.03,0.02,0.02,0.06,0.03,0.02,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.07,0.03,0.05,0.06,0.01,0.05,0.01,0.02,0.02,0.03,0.05,0.02,0.02,0.04,0.02,0.03,0.03,0.03,0.03,0.01,0.03,0.04,0.03,0.03,0.1,0.03,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0,0.01,0.02,0.02,0.02,0.03,0.03,0.01,0,0.02,0.01,0.03,0.03,0.04,0.04,0.01,0.01,0.02,0.01,0.04,0.05,0.02,0.02,0.03,0.04,0.02,0.03,0.04,0.02,0,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.02,0.03,0.02,0.06,0.02,0.01,0.01,0.01,0.01,0,0.02,0.04,0.01,0.02,0.02,0.02,0,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0,0.01,0.02,0.01,0.01,0.01,0,0.01,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.01,0,0.01,0,0.01,0.05,0.01,0,0.01,0.01,0.01,0.02,0.02,0.02,0.02
Card Gaming Accessories,0.01,0,0,0.16,0,0.03,0.02,0.01,0,0.01,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0,0.01,0.01,0.01,0.02,0,0.06,0.05,0.02,0,0,0.07,0,0,0.03,0.05,0,0.01,0.02,0,0,0,0.01,0.01,0.03,0.01,0.02,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,0,0,0.02,0.03,0.01,0.03,0.03,0,0.02,0,0.02,0,0.02,0.02,0,0.02,0,0,0,0,0.01,0,0.01,0.01,0.02,0,0,0.04,0.05,0,0.03,0.02,0.03,0,0.01,0.1,0.04,0.02,0,0.03,0.02,0,0.02,0.03,0,0,0.01,0,0.01,0.05,0,0.07,0.03,0,0.01,0.01,0.06,0.05,0.01,0.02,0.01,0.02,0.01,0.03,0.03,0,0.02,0.03,0.01,0.07,0.02,0.01,0,0.06,0.01,0.04,0.03,0.07,0.02,0,0.05,0.01,0.01,0.1,0.1,0.05,0.01,0.04,0.05,0,0.02,0.08,0.01,0.01,0.01,0.02,0.03,0.18,0.03,0,0.01,0.05,0.01,0.01,0.04,0.07,0.01,0.02,0,0.03,0.04,0.04,0.06,0.02,0,0.03,0.02,0.02,0.05,0.04,0.02,0.06,0.07,0.03,0.02,0.08,0.17,0.06,0.11,0.02,0.03,0.01,0.3,0.09,0.03,0.01,0.02,0.04,0.07,0.02,0.08,0.03,0.07,0.16,0.07,0.08,0.04,0.2,0.04,0.03,0.01,0.09,0.03,0.08,0.08,0.19,0.02,0.05,0,0,0.12,0.13,0.08,0.05,0.05,0.04,0.01,0.13,0.05,0.04,0.02,0.09,0,0.07,0.16,0.13,0.08
Event Tickets,0.01,0,0.02,0.36,0.27,0.06,0.05,0,0,0.05,0.18,0.23,0,0,0,0,0.03,0.12,0.06,0.03,0.04,0.01,0.02,0.03,0.01,0.1,0,0,0.01,0,0.04,0.03,0,0,0.15,0,0,0.03,0,0.02,0,0,0,0,0.03,0.04,0.14,0,0,0.01,0,0.03,0.04,0.14,0.13,0,0,0.02,0.04,0.04,0.11,0,0.04,0,0.04,0.06,0.04,0.22,0.03,0.03,0,0,0.04,0,0.26,0,0.08,0,0,0.03,0,0.19,0,0,0,0.03,0,0.03,0.21,0.13,0.06,0,0,0.05,0,0.29,0.01,0,0.07,0,0.02,0.04,0.28,0,0.02,0,0,0.11,0.09,0.4,0.06,0.04,0.1,0.1,0.24,0.14,0.8,0.28,0.11,0,0.01,0.02,0,0.37,0.16,0.22,0.01,0,0.05,0.02,0.27,0.02,0.02,0,0,0.08,0.01,0.2,0.02,0.01,0,0.02,0.08,0,0.19,0.05,0.06,0,0,0.03,0.06,0.13,0.03,0,0,0.02,0.01,0.04,0.23,0.03,0.11,0,0.01,0.04,0,0.19,0.05,0,0,0.04,0.06,0.01,0.11,0.05,0.18,0.01,0,0.1,0,0.09,0,0,0,0,0.04,0,0.2,0.36,0.03,0,0,0.06,0.11,0.15,0.29,0.01,0.01,0,0.06,0,0.12,0.04,0.01,0,0,0.04,0,0,0.02,0.01,0,0,0.06,0.02,0.12,0.09,0,0.04,0,0.03,0,0.25,0.03,0.04,0.04,0,0.03,0,0.1,0.02,0.02,0.05,0,0.04,0,0.24,0.03,0.02,0.05,0,0.07,0,0.25,0.1,0.12
Food,0.03,0.06,0.07,0.07,0.06,0.09,0.08,0.05,0.08,0.03,0.07,0.07,0.15,0.05,0.05,0.06,0.05,0.08,0.15,0.09,0.05,0.06,0.1,0.05,0.07,0.05,0.11,0.09,0.02,0.06,0.07,0.09,0.13,0.07,0.06,0.06,0.11,0.06,0.04,0.08,0.08,0.08,0.02,0.1,0.06,0.05,0.11,0.06,0.03,0.05,0.07,0.06,0.04,0.09,0.03,0.05,0.05,0.07,0.07,0.04,0.06,0.1,0.07,0.07,0.05,0.05,0.05,0.13,0.04,0.04,0.02,0.05,0.07,0.05,0.06,0.08,0.03,0.06,0.08,0.02,0.07,0.08,0.06,0.06,0.04,0.05,0.05,0.14,0.13,0.14,0.07,0.03,0.06,0.05,0.06,0.15,0.05,0.06,0.05,0.04,0.11,0.03,0.18,0.12,0.11,0.04,0.07,0.04,0.08,0.11,0.16,0.13,0.04,0.05,0.06,0.09,0.14,0.16,0.11,0.05,0.04,0.06,0.07,0.15,0.23,0.08,0.11,0.06,0.06,0.06,0.07,0.1,0.13,0.03,0.08,0.05,0.06,0.08,0.06,0.06,0.04,0.06,0.04,0.09,0.07,0.07,0.15,0.04,0.03,0.05,0.06,0.14,0.06,0.04,0.04,0.07,0.04,0.11,0.1,0.17,0.09,0.02,0.03,0.06,0.09,0.13,0.17,0.2,0.05,0.04,0.04,0.06,0.24,0.11,0.04,0.04,0.08,0.06,0,0.05,0.11,0.11,0.07,0.04,0.03,0.03,0.1,0.11,0.13,0.04,0.1,0.04,0.04,0.14,0.08,0.12,0.04,0.06,0.03,0.03,0.06,0.13,0.04,0.08,0.07,0.03,0.01,0.03,0.07,0.06,0.1,0.1,0.09,0.04,0.13,0.16,0.1,0.03,0.03,0.02,0.06,0.1,0.1,0.07,0.02,0.06,0.08,0.05,0.08,0.21,0.11,0.04,0.03,0.06,0.07,0.14,0.12,0.08,0.1,0.11,0.05,0.06,0.09,0.16,0.13
Glass Bottled Soda,0.03,0.08,0.06,0.05,0.07,0.14,0.26,0.04,0.08,0.1,0.06,0.09,0.13,0.13,0.07,0.08,0.1,0.12,0.13,0.18,0.09,0.09,0.15,0.08,0.07,0.1,0.19,0.15,0.02,0.09,0.12,0.14,0.46,0.03,0.07,0.09,0.17,0.1,0.08,0.14,0.28,0.11,0.06,0.14,0.11,0.1,0.17,0.14,0.11,0.04,0.12,0.08,0.1,0.13,0.11,0.07,0.11,0.1,0.1,0.16,0.17,0.22,0.09,0.07,0.16,0.08,0.07,0.17,0.17,0.13,0.05,0.14,0.1,0.09,0.14,0.16,0.08,0.08,0.16,0.06,0.13,0.16,0.09,0.16,0.08,0.09,0.06,0.16,0.11,0.13,0.13,0.07,0.09,0.04,0.04,0.08,0.18,0.1,0.09,0.07,0.08,0.05,0.21,0.15,0.08,0.04,0.06,0.04,0.13,0.16,0.29,0.11,0.04,0.08,0.04,0.08,0.11,0.26,0.1,0.06,0.07,0.04,0.07,0.18,0.25,0.12,0.06,0.13,0.11,0.09,0.21,0.12,0.12,0.04,0.06,0.07,0.07,0.09,0.18,0.12,0.02,0.08,0.04,0.09,0.14,0.09,0.09,0.06,0.05,0.03,0.05,0.11,0.14,0.04,0.08,0.07,0.05,0.04,0.06,0.14,0.07,0.05,0.05,0.04,0.04,0.12,0.16,0.09,0.02,0.07,0.05,0.07,0.11,0.13,0.02,0.06,0.12,0.09,0.01,0.11,0.12,0.06,0.06,0.06,0.06,0.03,0.1,0.18,0.11,0.07,0.07,0.01,0.03,0.05,0.2,0.12,0.08,0.03,0.07,0.07,0.08,0.14,0.07,0.07,0.08,0.05,0.02,0.03,0.06,0.07,0.07,0.07,0.08,0.04,0.07,0.11,0.07,0.04,0.04,0.05,0.07,0.06,0.09,0.05,0.03,0.05,0.08,0.05,0.05,0.21,0.11,0.07,0.05,0.03,0.04,0.17,0.11,0.08,0.07,0.07,0.04,0.05,0.06,0.11,0.05
